locx,locy,dist,made
128,145,19,0
-90,246,26,0
141,131,19,1
29,257,25,1
157,203,25,0
-185,449,48,0
45,104,11,1
33,250,25,0
121,159,19,0
25,261,26,0
2,327,32,0
-33,60,6,1
161,214,26,1
-163,204,26,0
16,16,2,1
-210,135,24,1
28,258,25,0
84,258,27,1
120,234,26,1
98,248,26,1
115,274,29,0
175,213,27,0
11,298,29,0
35,40,5,0
-9,67,6,0
-11,26,2,0
-35,53,6,0
226,49,23,0
203,154,25,0
120,247,27,0
4,38,3,0
-1,280,28,1
-17,278,27,1
90,238,25,1
-95,254,27,1
-27,43,5,0
-5,18,1,1
145,226,26,0
159,226,27,0
-212,141,25,1
-158,200,25,1
-105,41,11,1
-210,146,25,1
0,-6,0,0
-21,4,2,1
-185,159,24,0
7,271,27,0
229,135,26,0
134,224,26,1
-143,235,27,0
-166,214,27,1
-7,15,1,0
47,146,15,0
-179,201,26,0
-24,23,3,1
195,190,27,0
147,227,27,0
207,168,26,1
233,17,23,1
-191,190,26,0
18,39,4,0
224,154,27,0
143,152,20,0
-164,217,27,0
-152,199,25,1
85,46,9,0
166,200,25,1
-161,202,25,0
33,34,4,1
-218,122,24,1
-33,26,4,0
54,28,6,1
-136,280,31,1
-114,249,27,1
44,250,25,0
-91,287,30,1
-46,21,5,0
206,162,26,0
230,37,23,0
139,252,28,0
-26,14,2,0
84,161,18,0
-2,79,7,0
-187,193,26,0
-189,199,27,1
-43,89,9,0
149,221,26,0
-231,13,23,0
-114,241,26,1
-182,180,25,0
3,79,7,1
-182,203,27,0
-20,48,5,0
-168,215,27,1
-117,231,25,0
117,277,30,0
91,259,27,1
139,230,26,0
-98,63,11,0
-72,109,13,1
157,221,27,0
183,185,26,1
-175,238,29,1
-123,134,18,0
128,152,19,1
-11,274,27,0
32,94,9,0
-7,269,26,0
-138,259,29,1
139,280,31,0
-147,241,28,1
221,126,25,1
-215,184,28,0
155,237,28,1
-114,224,25,0
23,42,4,0
100,257,27,0
2,200,20,1
-76,235,24,0
-14,248,24,0
-10,8,1,0
-4,19,1,1
-5,59,5,1
20,34,3,0
191,168,25,0
160,200,25,0
-55,35,6,0
110,236,26,0
-138,248,28,0
-6,20,2,1
-77,117,14,0
-153,206,25,1
232,13,23,1
8,288,28,0
-128,-1,12,0
3,270,27,1
-155,227,27,0
19,1,1,1
-32,1,3,1
-3,11,1,1
-115,249,27,0
-81,49,9,1
-18,12,2,0
-161,25,16,0
-148,216,26,0
-141,223,26,1
-14,4,1,0
36,264,26,1
-9,7,1,0
-111,233,25,0
-231,11,23,0
111,237,26,1
-58,273,27,1
46,262,26,0
-61,254,26,1
126,222,25,0
-232,47,23,0
-20,268,26,1
-18,283,28,0
-106,29,10,0
-16,258,25,1
3,55,5,0
160,197,25,1
-76,252,26,0
-22,52,5,1
198,166,25,0
-135,245,27,0
-58,42,7,0
-10,24,2,0
-2,258,25,0
152,213,26,0
90,22,9,1
-5,16,1,0
-26,56,6,1
-10,4,1,1
239,42,24,1
-107,241,26,1
-8,24,2,0
159,189,24,1
-5,18,1,0
-28,57,6,1
0,17,1,1
225,-5,22,1
227,68,23,0
-13,254,25,0
22,5,2,0
-1,57,5,0
154,227,27,0
-24,269,27,1
134,214,25,1
-87,244,25,0
-62,92,11,1
-3,65,6,1
-20,260,26,0
-110,257,27,0
90,249,26,0
-115,244,26,0
-63,51,8,0
-67,256,26,1
-236,77,24,0
56,266,27,1
-42,21,4,0
-32,20,3,1
90,127,15,0
158,221,27,1
5,277,27,0
-53,32,6,0
234,38,23,1
193,185,26,1
-106,287,30,0
111,248,27,1
-130,245,27,0
158,241,28,0
-46,21,5,1
119,70,13,1
-231,10,23,0
-143,232,27,1
139,220,26,0
-2,23,2,1
35,268,27,1
206,178,27,0
-1,95,9,0
198,157,25,0
2,55,5,1
-19,267,26,0
-120,243,27,0
-176,175,24,0
-5,10,1,1
2,11,1,1
-144,225,26,0
2,16,1,0
107,244,26,0
4,10,1,1
-43,73,8,1
135,222,25,1
64,258,26,0
-111,251,27,0
14,255,25,0
-13,94,9,1
-2,55,5,1
2,4,0,1
23,268,26,0
103,276,29,0
-103,247,26,0
-16,10,1,1
18,213,21,0
-221,101,24,0
-73,195,20,0
-124,145,19,0
-3,87,8,1
149,247,28,0
104,245,26,0
-150,214,26,0
97,-6,9,1
-23,34,4,0
228,1,22,1
210,141,25,1
8,11,1,0
-2,-3,0,1
-1,7,0,1
2,1,0,1
101,20,10,0
-32,11,3,1
-2,7,0,1
-161,206,26,0
29,252,25,0
-8,-4,0,0
55,244,25,0
-139,216,25,1
-3,7,0,0
55,-5,5,0
32,39,5,1
5,-3,0,1
-123,252,28,0
101,231,25,0
226,53,23,0
-140,21,14,1
164,198,25,1
-15,20,2,0
226,98,24,1
-64,314,32,0
-205,158,25,0
-6,64,6,1
22,267,26,1
114,230,25,0
-5,10,1,1
3,13,1,1
6,12,1,1
-24,266,26,0
8,22,2,1
34,294,29,0
-69,135,15,1
114,234,26,0
-10,14,1,0
134,247,28,0
-9,21,2,1
-3,68,6,0
-2,272,27,1
142,211,25,0
54,248,25,0
23,36,4,0
-2,20,2,1
97,246,26,0
-41,263,26,0
-9,26,2,1
-19,23,2,1
-93,259,27,1
-30,15,3,1
-157,230,27,0
-63,178,18,0
150,209,25,1
93,248,26,0
-6,27,2,1
62,264,27,0
-107,298,31,0
49,251,25,1
78,258,26,1
